documentid,property,value
1014150,逾期付款利息,191729.26
1014150,还款,60000000
1016447,工程款,798051
1016447,案件受理费,54407
1017907,价款,347624
1017907,利息损失,347624
1017907,案件受理费,4208
1018679,违约金,4129288.40
1018679,案件受理费,119200
1019967,住院伙食补助费,420
1019967,伙食补助费,420
1019967,残疾赔偿金,350808
1019967,护理费,9440
1019967,误工费,14560
1019967,交通费,1000
1019967,营养费,4800
1019967,住宿费,800
1019967,交通费,1000
1019967,赔偿金,350808
1019967,医疗费,102804.55
1019967,精神损害抚慰金,20000
1019967,律师费,5000
1019967,住院伙食补助费,420
1019967,伙食补助费,420
1019967,残疾赔偿金,350808
1019967,护理费,9440
1019967,误工费,14560
1019967,交通费,1000
1019967,营养费,4800
1019967,住宿费,800
1019967,交通费,1000
1019967,赔偿金,350808
1019967,医疗费,102804.55
1019967,精神损害抚慰金,20000
1019967,律师费,5000
1019967,住院伙食补助费,420
1019967,伙食补助费,420
1019967,残疾赔偿金,350808
1019967,护理费,9440
1019967,误工费,14560
1019967,交通费,1000
1019967,营养费,4800
1019967,住宿费,800
1019967,交通费,1000
1019967,赔偿金,350808
1019967,医疗费,102804.55
1019967,精神损害抚慰金,20000
1019967,律师费,5000
1020864,本金,49000000
1020864,违约金,29000000
1021331,支付利息,2000000
1021331,案件受理费,81800
1021331,保全费,5000
1021741,护理费,210
1021741,误工费,4045
1021741,交通费,300
1021741,鉴定费,900
1021741,营养费,900
1021741,律师费,3000
1021741,交通费,300
1021741,医疗费,11750.20
1039197,各项损失,201522.8
1043214,借款本金,3980
1043214,借款,3980
1043214,本金,3980
1045058,一次性伤残就业补助金,37870
1045058,一次性工伤医疗补助金,22722
1045058,一次性伤残补助金,25382.34
1045058,伙食补助费,520
1045058,护理费,2362.70
1045058,鉴定费,280
1045381,违约金,246145
1045381,违约金,246145
1045381,违约金,246145
1045381,购房款,246145
1045381,房款,246145
1045381,房款,246145
1046402,借款,1000000
1049129,精神损害抚慰金,86455.97
1049129,残疾赔偿金,86455.97
1049129,赔偿金,86455.97
1054151,案件受理费,5210
1054151,押金,50000
1055541,车辆损失,1200
1055541,衣物损失,400
1055541,护理费,900
1055541,误工费,8826.94
1055541,交通费,300
